Post publish date,Post title,Impressions,Clicks,Click-through rate,Likes,Comments,Shares,Follows,Engagement rate
2024-09-03,"Excited to share our Q1 results — incredible team effort!",2841,98,3.45%,72,14,9,4,6.79%
2024-09-05,"Just published: 10 trends shaping the future of work",1923,61,3.17%,45,8,6,2,6.24%
2024-09-09,"Thrilled to announce our Series B funding round",8740,312,3.57%,294,47,68,31,8.23%
2024-09-11,"Great conversation at last week's leadership summit",1456,44,3.02%,38,6,3,1,6.28%
2024-09-12,"We're hiring! Senior engineers — link in comments",3201,187,5.84%,55,22,14,8,8.68%
2024-09-16,"How we reduced churn by 40% in 6 months",4512,203,4.50%,138,31,27,12,8.85%
2024-09-18,"Congrats to our team on the industry award nomination",2105,56,2.66%,89,12,8,3,7.83%
2024-09-19,"Reflecting on 5 years building this company",3874,145,3.74%,163,38,22,7,9.50%
2024-09-23,"New product feature just launched — check it out!",5231,298,5.70%,118,24,19,15,8.77%
2024-09-25,"Lessons from our biggest product failure",6105,189,3.10%,241,62,45,9,8.96%
2024-09-26,"The one habit that changed how I lead teams",4788,134,2.80%,195,44,33,6,8.49%
2024-09-30,"Customer spotlight: how Acme Corp grew 3x in a year",3244,101,3.11%,87,17,14,5,6.79%
2024-10-02,"5 things I wish I knew before my first hire",2987,89,2.98%,74,11,9,3,6.14%
2024-10-03,"Behind the scenes: how our remote team stays aligned",1876,52,2.77%,48,9,5,2,6.07%
2024-10-07,"The data doesn't lie — your onboarding process is broken",4321,176,4.07%,129,28,24,10,8.71%
2024-10-09,"Proud to welcome 3 new team members this month!",2103,44,2.09%,95,18,6,4,7.75%
2024-10-10,"What 200 customer interviews taught us",5677,243,4.28%,187,42,38,14,9.04%
2024-10-14,"Quick tip: the best time to post on LinkedIn",3456,129,3.73%,91,19,15,6,7.24%
2024-10-16,"Our CTO's open letter on engineering culture",4102,167,4.07%,122,31,20,8,8.31%
2024-10-17,"We just crossed 10,000 customers!",7823,287,3.67%,312,58,74,28,9.35%
2024-10-21,"Stop doing these 3 things in your product demos",5214,218,4.18%,157,36,29,11,8.67%
2024-10-23,"Why we chose to stay bootstrapped",3987,143,3.59%,109,22,18,7,7.57%
2024-10-24,"Hiring update: we're pausing — here's why",2341,78,3.33%,67,15,8,2,6.75%
2024-10-28,"How to build a feedback culture from day one",4123,158,3.83%,134,29,22,9,8.33%
2024-10-30,"October wrapped: our biggest month yet",5601,213,3.80%,198,44,31,16,8.70%
2024-11-04,"The underrated skill every founder needs",3812,139,3.65%,118,26,19,7,8.44%
2024-11-06,"New partnership announcement — thrilled to share!",6234,241,3.87%,204,38,52,22,8.58%
2024-11-07,"How we handle disagreements on the leadership team",3201,109,3.41%,97,21,15,5,7.57%
2024-11-11,"Veterans Day: honoring team members who served",1984,38,1.92%,112,14,6,3,8.61%
2024-11-13,"Launching our new community forum — join us",4450,198,4.45%,127,33,27,14,8.87%
2024-11-14,"My honest take on the AI productivity hype",8901,356,4.00%,287,71,63,24,8.77%
2024-11-18,"5 metrics we track that most companies ignore",5312,207,3.90%,162,38,34,12,8.50%
2024-11-20,"Year-end planning: our process and template",4023,165,4.10%,118,27,20,8,8.22%
2024-11-21,"Grateful for this community — 50K followers!",6745,234,3.47%,389,82,91,37,11.81%
2024-11-25,"The gift of constraints: building with a small team",3456,121,3.50%,104,22,17,6,7.94%
2024-12-02,"We're wrapping up a record Q4",5102,201,3.94%,163,37,28,13,8.39%
2024-12-04,"How our support team handles difficult customers",3234,118,3.65%,98,23,16,5,7.89%
2024-12-05,"End-of-year message from our CEO",4512,152,3.37%,201,41,33,11,9.46%
2024-12-09,"2024 in review: the wins, losses & lessons",7234,278,3.84%,312,67,58,20,9.89%
2024-12-11,"Our predictions for 2025",5678,234,4.12%,187,44,41,17,9.29%
